"Data are from N. Ohta, ""The Basis of Color Reproduction Engineering (Japanese)"", published by Corona-sha Co of Japan in 1997",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"patch key at right -->",,,"Macbeth Color Checker Patches",,,,,,,,,,,,,,,,,,,,
"wavelength",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,"Patch Numbers"
380,0.05,0.1,0.11,0.05,0.12,0.11,0.05,0.1,0.1,0.1,0.06,0.06,0.07,0.06,0.05,0.05,0.12,0.09,0.15,0.15,0.14,0.11,0.07,0.03,,
385,0.05,0.12,0.14,0.05,0.15,0.13,0.05,0.12,0.11,0.12,0.06,0.06,0.08,0.06,0.05,0.05,0.14,0.11,0.19,0.18,0.17,0.13,0.08,0.03,,
390,0.06,0.14,0.17,0.05,0.2,0.17,0.05,0.15,0.12,0.14,0.06,0.06,0.1,0.06,0.05,0.05,0.18,0.13,0.25,0.24,0.21,0.15,0.08,0.03,,
395,0.06,0.16,0.22,0.05,0.26,0.21,0.05,0.19,0.14,0.16,0.06,0.06,0.11,0.06,0.05,0.05,0.23,0.16,0.32,0.3,0.25,0.17,0.09,0.03,,
400,0.07,0.18,0.27,0.05,0.33,0.25,0.05,0.23,0.14,0.18,0.06,0.07,0.14,0.06,0.05,0.05,0.28,0.2,0.41,0.37,0.29,0.18,0.09,0.04,,
405,0.07,0.19,0.3,0.05,0.39,0.28,0.05,0.27,0.15,0.19,0.06,0.07,0.16,0.06,0.05,0.05,0.32,0.22,0.54,0.46,0.32,0.19,0.09,0.04,,
410,0.07,0.2,0.32,0.05,0.42,0.3,0.05,0.29,0.14,0.2,0.06,0.06,0.18,0.06,0.05,0.05,0.34,0.24,0.67,0.53,0.35,0.2,0.09,0.04,,
415,0.07,0.2,0.33,0.05,0.44,0.31,0.05,0.31,0.14,0.2,0.06,0.06,0.19,0.06,0.05,0.05,0.35,0.25,0.77,0.56,0.35,0.2,0.09,0.04,,
420,0.06,0.2,0.34,0.05,0.45,0.32,0.05,0.32,0.14,0.21,0.06,0.06,0.21,0.06,0.05,0.05,0.36,0.26,0.84,0.58,0.36,0.2,0.09,0.04,,
425,0.06,0.2,0.34,0.05,0.45,0.33,0.05,0.34,0.13,0.2,0.06,0.06,0.22,0.06,0.05,0.05,0.36,0.27,0.87,0.58,0.36,0.2,0.09,0.04,,
430,0.06,0.21,0.34,0.05,0.45,0.34,0.05,0.35,0.13,0.19,0.06,0.06,0.24,0.06,0.05,0.05,0.35,0.28,0.88,0.59,0.36,0.2,0.09,0.04,,
